username,password,grade,target_role,createTaskNum,uploadedResumeNum,status,register_time,last_login
alice,alice123,大三,前端,0,0,normal,2026-01-25 09:00:00,
bob,bob123,大三,后端,0,0,normal,2026-01-25 09:00:00,
carol,carol123,大四,算法,0,0,normal,2026-01-25 09:00:00,
dave,dave123,大三,全栈,0,0,normal,2026-01-25 09:00:00,
eve,eve123,大二,测试,0,0,normal,2026-01-25 09:00:00,
frank,frank123,大三,前端,0,0,normal,2026-01-25 09:00:00,
grace,grace123,大四,后端,0,0,normal,2026-01-25 09:00:00,
heidi,heidi123,大三,算法,0,0,normal,2026-01-25 09:00:00,
ivan,ivan123,大二,全栈,0,0,normal,2026-01-25 09:00:00,
judy,judy123,大三,测试,0,0,normal,2026-01-25 09:00:00
